id,asset_id,item,category,price,state,created_at
1,69,88,Garden,68.13,successful,19:00.0
2,155,25,Grocery,75.89,successful,46:37.4
3,560,59,Books,19.7,successful,28:17.2
4,562,95,Games,17.64,successful,49:25.1
5,64,24,Kids,76.08,successful,43:17.9
6,402,88,Movies,42.87,successful,10:23.0
7,319,67,Garden,22.85,successful,46:11.9
8,86,69,Outdoors,25.21,successful,15:33.9
9,585,51,Grocery,34.85,successful,37:31.3
10,297,38,Games,94.6,successful,29:54.2
11,579,49,Baby,49.3,successful,23:47.9
12,283,98,Industrial,41.39,successful,21:11.8
13,437,49,Electronics,56.63,successful,26:35.7
14,319,65,Games,36.71,successful,03:48.6
15,162,35,Jewelery,82.48,successful,09:07.0
16,233,10,Tools,75.18,successful,38:05.9
17,119,84,Computers,46.87,successful,06:40.3
18,487,80,Automotive,69.9,successful,09:53.3
19,16,21,Clothing,98.12,successful,15:14.9
20,263,13,Sports,58.62,successful,41:20.8
21,240,85,Grocery,72.63,successful,01:06.6
22,455,77,Sports,54.32,successful,20:17.5
23,514,47,Industrial,34.04,successful,39:22.7
24,136,88,Computers,58.17,successful,35:42.8
25,337,84,Computers,94.14,successful,08:04.0
26,282,25,Beauty,90.28,successful,35:20.6
27,510,92,Home,2.75,successful,29:41.3
28,312,88,Grocery,7.13,successful,55:00.2
29,223,50,Health,20.32,successful,27:33.8
30,187,11,Health,44.47,successful,22:26.4
31,357,94,Outdoors,98.94,successful,25:42.2
32,320,2,Industrial,70.23,successful,43:56.3
33,439,76,Home,45.06,successful,42:54.8
34,163,72,Shoes,68.01,failed,29:32.9
35,184,53,Sports,37.1,successful,33:51.2
36,318,66,Books,29.25,successful,48:40.3
37,153,17,Industrial,8.78,successful,46:30.2
38,120,49,Shoes,84.59,successful,46:41.5
39,50,36,Automotive,15.9,successful,25:07.2
40,576,18,Industrial,9.46,successful,17:14.3
41,518,56,Jewelery,96.88,successful,19:09.7
42,265,92,Clothing,63.86,successful,21:55.2
43,424,85,Tools,51.26,successful,29:08.8
44,188,79,Tools,56.02,successful,29:13.2
45,264,15,Clothing,83.4,successful,54:48.9
46,506,87,Tools,8.6,successful,59:51.9
47,197,23,Health,89.78,successful,31:42.2
48,488,70,Health,52.13,successful,27:54.3
49,274,69,Baby,96.1,successful,46:08.2
50,423,49,Books,84.25,successful,07:49.4
51,24,47,Kids,84.25,successful,56:53.9
52,366,20,Sports,7.83,successful,09:38.9
53,52,57,Sports,56.19,successful,59:12.2
54,88,78,Health,32.5,successful,04:15.5
55,230,88,Garden,94.11,successful,24:56.1
56,252,45,Tools,90.67,successful,20:32.3
57,534,96,Games,31.77,successful,22:30.4
58,16,70,Shoes,77.31,successful,25:29.3
59,35,9,Jewelery,18.52,successful,39:07.2
60,436,68,Computers,42.28,successful,43:27.3
61,439,85,Tools,31.54,successful,15:56.6
62,203,18,Baby,43.01,successful,07:06.5
63,378,86,Electronics,22.91,successful,38:34.2
64,424,48,Movies,21.06,successful,02:47.9
65,303,25,Baby,93.39,successful,20:43.6
66,115,74,Computers,45.51,successful,10:17.9
67,343,26,Sports,44.23,successful,28:05.1
68,13,8,Computers,39.49,successful,40:14.8
69,598,95,Tools,7.35,successful,29:05.8
70,331,45,Beauty,87.82,successful,58:44.2
71,212,20,Computers,48.53,successful,43:23.4
72,460,54,Grocery,65.48,successful,05:44.4
73,378,15,Automotive,10.07,successful,03:57.8
74,426,56,Tools,62.77,successful,13:00.1
75,297,63,Beauty,21.07,successful,38:26.5
76,536,97,Automotive,12.77,successful,43:25.5
77,445,100,Industrial,92.86,successful,13:51.4
78,545,71,Health,17.38,successful,36:50.1
79,513,35,Automotive,30.57,successful,07:06.8
80,136,40,Sports,41.2,successful,57:07.4
81,97,97,Health,13.75,successful,23:03.4
82,442,33,Beauty,81.37,successful,56:32.5
83,277,88,Sports,93.96,successful,06:47.8
84,532,72,Health,27.14,successful,58:57.2
85,520,86,Kids,1.83,successful,29:26.1
86,24,30,Games,79.78,successful,52:17.4
87,538,11,Industrial,94.73,successful,32:20.2
88,370,58,Toys,87.98,successful,37:05.3
89,120,46,Music,47.58,successful,07:28.1
90,11,45,Books,59.03,successful,31:00.4
91,313,95,Books,21.28,successful,39:09.1
92,370,87,Electronics,26.14,successful,31:27.9
93,94,67,Beauty,24.92,successful,47:53.1
94,511,81,Jewelery,9.26,successful,19:55.4
95,507,73,Jewelery,4.35,successful,23:37.6
96,534,21,Clothing,86.79,successful,57:10.5
97,584,51,Movies,17.63,successful,08:16.5
98,465,22,Games,17.66,successful,51:08.9
99,80,22,Sports,19.7,successful,22:46.6
100,10,3,Jewelery,55.42,successful,15:03.5
101,551,43,Automotive,54.56,failed,45:27.0
102,134,78,Music,17.99,successful,19:36.9
103,260,10,Outdoors,59.68,successful,31:23.5
104,135,28,Baby,87.42,successful,36:54.7
105,91,80,Music,94.3,successful,20:58.1
106,407,73,Games,26.54,successful,35:31.5
107,140,41,Grocery,70.85,successful,34:38.8
108,409,81,Sports,55.13,successful,25:36.9
109,337,93,Movies,63.17,successful,12:11.7
110,40,8,Baby,34.92,successful,52:25.3
111,419,90,Movies,88.64,successful,04:15.2
112,178,89,Computers,10.77,successful,31:36.1
113,183,55,Health,68.88,successful,50:41.8
114,446,36,Music,78.68,successful,54:56.1
115,75,41,Games,66.55,successful,51:49.7
116,53,94,Garden,25.96,successful,00:41.9
117,434,32,Sports,54.9,failed,51:03.5
118,63,38,Toys,17.32,successful,14:44.1
119,57,43,Jewelery,89.81,successful,09:04.8
120,329,89,Grocery,57.75,successful,25:48.7
121,127,2,Toys,99.94,successful,05:45.9
122,599,29,Tools,64.39,successful,24:34.4
123,39,33,Grocery,68.85,successful,19:32.1
124,491,6,Baby,17.69,successful,54:32.0
125,485,64,Automotive,74.35,successful,01:19.7
126,137,35,Toys,73.89,successful,16:05.5
127,118,8,Beauty,50.79,successful,29:20.1
128,2,77,Books,91.98,failed,03:50.5
129,69,91,Electronics,36.48,successful,23:20.7
130,595,37,Tools,25.33,failed,24:26.9
131,156,67,Health,37.3,successful,03:17.0
132,251,39,Tools,32.8,successful,06:18.5
133,496,21,Garden,3.06,successful,56:27.1
134,592,34,Garden,37.41,successful,57:26.2
135,275,7,Grocery,14.12,successful,03:42.9
136,479,64,Outdoors,47.95,successful,17:58.5
137,105,83,Shoes,18.13,failed,17:04.6
138,516,38,Music,73.51,successful,03:20.5
139,225,41,Automotive,47.79,successful,09:12.4
140,63,43,Garden,86.8,successful,03:37.4
141,468,63,Garden,63.95,successful,01:16.0
142,306,19,Shoes,51.68,successful,46:30.7
143,439,45,Electronics,92.35,successful,04:52.3
144,316,68,Electronics,43.79,successful,15:51.5
145,167,18,Clothing,36.46,successful,03:45.9
146,335,53,Movies,50.58,failed,41:17.5
147,347,97,Baby,17.55,successful,34:13.3
148,156,69,Garden,88.4,successful,21:14.1
149,134,58,Automotive,40.59,successful,47:22.5
150,553,5,Shoes,66.62,successful,33:28.2
151,182,60,Automotive,60.52,successful,38:27.6
152,23,80,Electronics,22.13,successful,14:29.0
153,247,2,Toys,4.72,successful,40:35.8
154,383,32,Home,87.25,successful,05:57.6
155,69,11,Grocery,4.7,successful,39:49.5
156,181,34,Books,55.37,successful,41:33.0
157,221,97,Garden,89,successful,41:00.2
158,322,55,Movies,25.7,successful,45:17.3
159,508,73,Electronics,12.15,successful,08:41.4
160,465,88,Jewelery,86.5,successful,37:08.7
161,13,67,Industrial,38.87,successful,27:34.4
162,14,59,Health,89.08,successful,24:58.6
163,435,40,Home,91.81,successful,05:50.1
164,558,83,Baby,34.54,successful,11:58.4
165,520,58,Clothing,87.87,successful,47:30.9
166,373,44,Shoes,2.14,successful,49:51.7
167,27,100,Movies,76.37,successful,27:44.4
168,507,26,Books,67.95,successful,34:01.6
169,586,20,Automotive,38.44,successful,51:06.6
170,50,61,Grocery,73.96,successful,54:04.5
171,36,42,Industrial,34.96,successful,22:41.0
172,558,14,Clothing,47.97,successful,34:19.0
173,110,13,Music,65.53,successful,37:17.2
174,549,89,Beauty,81.41,successful,57:42.0
175,116,24,Books,74.52,successful,48:44.9
176,438,26,Games,70.28,successful,41:01.1
177,352,55,Beauty,5.31,successful,58:28.7
178,44,89,Jewelery,4.31,successful,14:31.9
179,149,30,Garden,69.42,successful,20:11.0
180,72,26,Health,40.09,successful,57:06.4
181,447,25,Games,74.7,successful,18:48.8
182,396,42,Jewelery,47.81,failed,11:24.0
183,68,56,Grocery,15.55,successful,10:33.9
184,278,47,Sports,89.15,successful,38:30.6
185,363,45,Tools,15.39,successful,43:42.3
186,486,23,Clothing,57.28,successful,23:19.9
187,258,8,Industrial,92.04,successful,15:00.1
188,509,22,Sports,46.16,successful,20:58.3
189,568,52,Shoes,43.32,successful,15:25.4
190,5,22,Clothing,1.05,successful,16:16.6
191,411,42,Tools,72.35,failed,43:02.9
192,390,37,Tools,30.25,successful,34:04.8
193,534,70,Industrial,50.64,successful,46:42.7
194,474,98,Grocery,90.91,successful,06:20.9
195,222,44,Sports,20.34,successful,39:55.9
196,67,89,Games,2.25,failed,52:26.2
197,400,3,Electronics,34.4,successful,41:40.2
198,240,62,Automotive,65.03,successful,49:08.4
199,341,64,Movies,44.19,successful,05:28.2
200,300,84,Electronics,42.01,successful,38:25.8
201,440,92,Outdoors,88.98,successful,12:30.5
202,415,58,Shoes,31.31,successful,33:05.1
203,26,20,Books,10.34,successful,54:55.9
204,479,39,Movies,66.98,successful,15:17.3
205,339,3,Sports,19.79,successful,33:36.7
206,336,8,Toys,14.61,successful,44:55.7
207,457,19,Games,52.55,successful,37:31.1
208,79,64,Games,82.32,successful,41:45.8
209,92,90,Jewelery,76.67,successful,28:37.4
210,264,20,Beauty,29.02,successful,02:54.1
211,564,58,Grocery,1.42,successful,54:00.8
212,403,13,Tools,33.84,successful,39:21.9
213,10,53,Health,37.46,successful,38:35.0
214,314,19,Shoes,71.12,successful,05:20.1
215,434,49,Outdoors,95.47,successful,03:06.2
216,5,20,Automotive,20.07,successful,25:49.0
217,33,41,Games,15.45,successful,00:35.4
218,502,72,Kids,13.62,successful,19:33.6
219,376,52,Movies,11.93,successful,22:28.3
220,415,78,Toys,40.87,successful,01:28.2
221,463,58,Jewelery,19.91,successful,13:59.2
222,208,45,Health,17.79,successful,38:34.4
223,155,25,Jewelery,65.41,successful,29:25.6
224,451,73,Grocery,59.74,successful,50:51.2
225,248,97,Jewelery,74.4,successful,57:18.7
226,530,26,Clothing,77.58,successful,25:22.7
227,94,88,Kids,97.45,successful,05:56.0
228,213,11,Jewelery,11.02,successful,44:14.2
229,6,35,Beauty,56.06,successful,40:52.5
230,176,48,Tools,4.58,successful,37:14.3
231,318,6,Jewelery,91.11,successful,39:53.3
232,236,89,Garden,43.9,successful,44:15.7
233,273,31,Books,8.42,successful,40:57.6
234,276,44,Automotive,73.56,successful,09:10.5
